Symbol,Volume
HBANO,17476.000000
HBANP,53481.000000
HBCP,25953.000000
HBIO,58806.000000
HBMD,8908.000000
HBNC,55517.000000
HBP,93611.000000
HCAP,2880.000000
HCCI,27076.000000
HCKT,36459.000000
HCM,78120.000000
HCSG,511232.000000
HDSN,316589.000000
HEAR,208741.000000
HEES,114205.000000
HELE,117422.000000
HFBL,100.000000
HFWA,45046.000000
HGSH,12123.000000
HIBB,162680.000000
HIFS,5569.000000
HIHO,206446.000000
HIMX,1376375.000000
HLG,3448.000000
HLIT,157372.000000
HMHC,746382.000000
HMNF,0.000000
HMNY,10339712.000000
HMST,25153.000000
HMSY,278154.000000
HMTV,20174.000000
HNNA,4579.000000
HNRG,159554.000000
HOFT,11044.000000
HOLI,64170.000000
HOLX,750788.000000
HOMB,320716.000000
HONE,157866.000000
HOPE,325019.000000
HOVNP,6778.000000
HQY,198004.000000
HRTX,314394.000000
HRZN,993953.000000
HSIC,279987.000000
HSII,32236.000000
HSKA,285798.000000
HSON,14237.000000
HSTM,70042.000000
HTBI,80511.000000
HTBK,222567.000000
HTBX,3540302.000000
HTGM,136879.000000
HTHT,298303.000000
HTLD,79170.000000
HTLF,283160.000000
HUBG,41115.000000
HURC,24821.000000
HURN,52561.000000
HWBK,2071.000000
HWCC,38115.000000
HWKN,34699.000000
HYLS,139574.000000
HYZD,6740.000000
HZNP,936642.000000
IAC,220059.000000
IART,51505.000000
IBB,1962517.000000
IBCP,36613.000000
IBKR,337782.000000
IBOC,129897.000000
IBTX,67207.000000
IBUY,140104.000000
ICAD,482740.000000
ICBK,28907.000000
ICCC,22114.000000
ICFI,50075.000000
ICLN,5490426.000000
ICLR,640219.000000
ICON,108202.000000
ICPT,640749.000000
ICUI,28230.000000
IDCC,55624.000000
IDLB,0.000000
IDRA,244862.000000
IDXG,33304.000000
IDXX,201863.000000
IEP,160691.000000
IESC,14657.000000
IEUS,488.000000
IFGL,3411.000000
IFV,65471.000000
IGF,105681.000000
IGLD,0.000000
IGOV,23946.000000
III,23975.000000
IIIN,28006.000000
IIN,69049.000000
IIVI,365625.000000
IKNX,1994.000000
ILMN,560201.000000
IMGN,1399771.000000
IMKTA,85949.000000
IMMR,549779.000000
IMOS,3064.000000
INBK,41388.000000
INCY,525238.000000
INDB,53628.000000
INDY,39960.000000
INFI,1263078.000000
INFN,834852.000000
INFO,671232.000000
INGN,105207.000000
INO,10138477.000000
INOD,59520.000000
INOV,383788.000000
INSM,913881.000000
INTC,12695463.000000
INTG,1402.000000
INTU,507188.000000
INVA,97040.000000
INVE,25290.000000
INVT,0.000000
IONS,301266.000000
IOSP,28534.000000
IPAR,104533.000000
IPDN,86212.000000
IPGP,86406.000000
IPKW,2437.000000
IPWR,173459.000000
IRBT,305089.000000
IRCP,7516.000000
IRDM,839104.000000
IRIX,515748.000000
IRMD,12753.000000
IROQ,1113.000000
IRWD,2240261.000000
ISBC,1763209.000000
ISHG,103.000000
ISIG,6156.000000
ISNS,5145.000000
ISRG,161111.000000
ISSC,7071.000000
ISTR,5501.000000
ITCI,216735.000000
ITEQ,22049.000000
ITI,103735.000000
ITIC,1654.000000
ITRI,92037.000000
ITRN,18879.000000
IVAC,14572.000000
IXUS,1356692.000000
IZEA,1696456.000000
JACK,176866.000000
JAGX,4908662.000000
JAKK,39674.000000
JAZZ,229226.000000
JBHT,212643.000000
JBLU,3598944.000000
JBSS,12070.000000
JCOM,157767.000000
JCS,989832.000000
JCTCF,995.000000
JD,5903259.000000
JJSF,38272.000000
JKHY,248133.000000
JKI,5563.000000
JOBS,70808.000000
JOUT,6548.000000
JRJC,11117.000000
JRVR,37193.000000
JSM,19859.000000
JSMD,17010.000000
JSML,8608.000000
JVA,14830.000000
JYNT,222408.000000
KALU,38904.000000
KBAL,115046.000000
KBSF,44849.000000
KE,47092.000000
KELYA,41784.000000
KELYB,1812.000000
KEQU,2006.000000
KFFB,41.000000
KFRC,80741.000000
KGJI,32868.000000
KHC,2334705.000000
KIN,105556.000000
KINS,639.000000
KIRK,388893.000000
KLAC,396978.000000
KLIC,217159.000000
KMDA,180993.000000
KMPH,49666279.000000
KNDI,1036199.000000
KNSL,48706.000000
KOPN,4471276.000000
KOSS,954327.000000
KPTI,1610000.000000
KRMA,2554.000000
KRNT,57531.000000
KRNY,153014.000000
KTCC,6909.000000
KTOS,287066.000000
KURA,594733.000000
KVHI,18643.000000
KWEB,987341.000000
LAKE,117565.000000
LAMR,228213.000000
LANC,15019.000000
LAND,145027.000000
LARK,13709.000000
LAWS,5891.000000
LBAI,169775.000000
LBRDA,25250.000000
LBRDK,434142.000000
LBTYA,642299.000000
LBTYB,635.000000
LBTYK,1348424.000000
LCNB,15410.000000
LCUT,7821.000000
LE,57965.000000
LECO,54364.000000
LEDS,40296.000000
LFUS,35197.000000
LFVN,56349.000000
LGIH,256589.000000
LGND,125463.000000
LHCG,81707.000000
LIFE,204152.000000
LILA,110370.000000
LILAK,298951.000000
LINC,294300.000000
LIND,291352.000000
LINK,1924.000000
LITE,397042.000000
LIVE,4075.000000
LIVN,403183.000000
LJPC,187441.000000
LKFN,27271.000000
LKOR,4611.000000
LKQ,1293511.000000
LLNW,2415160.000000
LMAT,77174.000000
LMBS,550274.000000
LMFA,1323333.000000
LMNR,17152.000000
LMNX,515887.000000
LMRK,34941.000000
LMRKO,1153.000000
LMRKP,390.000000
LNDC,15117.000000
LNGR,8430.000000
LNTH,98643.000000
LOAN,18387.000000
LOB,103610.000000
LOCO,103682.000000
LOGI,968748.000000
LONE,1346.000000
LOPE,119669.000000
LORL,52578.000000
LPCN,1656091.000000
LPLA,161180.000000
LPSN,483925.000000
LPTH,470498.000000
LQDT,112712.000000
LRCX,751157.000000
LSBK,0.000000
LSCC,528021.000000
LSTR,72244.000000
LSXMA,122936.000000
LSXMB,0.000000
LSXMK,162255.000000
LTBR,101852.000000
LTRPA,769868.000000
LTRPB,47.000000
LTRX,55318.000000
LULU,862922.000000
LUNA,52831.000000
LVHD,16233.000000
LWAY,8042.000000
LXRX,510209.000000
LYTS,26940.000000
MACK,54933.000000
MACQU,332714.000000
MAGS,13578.000000
MANH,87561.000000
MANT,149469.000000
MAR,824149.000000
MARA,12417612.000000
MARK,1520846.000000
MARPS,17142.000000
MASI,98562.000000
MAT,741234.000000
MATN,365051.000000
MATW,51822.000000
MAYS,0.000000
MBCN,9064.000000
MBII,229604.000000
MBRX,421430.000000
MBSD,2465.000000
MBUU,71958.000000
MBWM,35426.000000
MCBC,54954.000000
MCFT,40877.000000
MCHI,3832066.000000
MCHP,1054445.000000
MCHX,123379.000000
MCRB,801667.000000
MCRI,60033.000000
MDCA,166133.000000
MDGL,34786.000000
MDGS,890207.000000
MDIV,40756.000000
MDLZ,3486459.000000
MDRX,1222101.000000
MDWD,40909.000000
MDXG,379170.000000
MEDP,111265.000000
MEIP,194282.000000
MELI,390303.000000
MEOH,60818.000000
MERC,114467.000000
MESO,147311.000000
MFIN,27718.000000
MFINL,750.000000
MFNC,1775.000000
MGEE,34627.000000
MGI,1192935.000000
MGIC,12774.000000
MGLN,207850.000000
MGNX,176261.000000
MGPI,41527.000000
MGRC,25872.000000
MGYR,4661.000000
MHLD,116434.000000
MICT,24993886.000000
MIDD,445588.000000
MIK,38512386.000000
MILN,32702.000000
MIME,153017.000000
MIND,100842.000000
MINDP,845.000000
MITK,224299.000000
MKSI,169514.000000
MKTX,185821.000000
MLAB,7753.000000
MLHR,173411.000000
MLVF,103.000000
MMAC,24034.000000
MMLP,81197.000000
MMSI,114597.000000
MMYT,431603.000000
MNDO,38922.000000
MNKD,4676842.000000
MNOV,33504.000000
MNRO,134370.000000
MNST,640823.000000
MNTX,9698.000000
MOFG,16394.000000
MOMO,1195066.000000
MORN,46445.000000
MOSY,159521.000000
MPAA,21087.000000
MPB,20938.000000
MPWR,164868.000000
MRCC,64917.000000
MRCY,79964.000000
MRLN,12036.000000
MRNS,122164.000000
MRTN,184266.000000
MRTX,96307.000000
MRUS,62964.000000
MRVL,7527933.000000
MSBI,41160.000000
MSEX,33074.000000
MSFT,15530921.000000
MSON,25661.000000
MSTR,440932.000000
MTBC,61907.000000
MTBCP,5851.000000
MTCH,678413.000000
MTEX,2355.000000
MTLS,410912.000000
MTP,238538.000000
MTRX,36128.000000
MTSC,25665.000000
MTSI,102299.000000
MTSL,35368.000000
MU,15734318.000000
MVIS,4064682.000000
MXIM,496210.000000
MYGN,193386.000000
MYRG,40751.000000
MYSZ,152499.000000
NAII,23105.000000
NAKD,43182293.000000
NATH,2253.000000
NATI,105240.000000
NATR,25565.000000
NAUH,0.000000
NAVI,639737.000000
NBIX,814172.000000
NBN,10833.000000
NBRV,3260226.000000
NBTB,32949.000000
NCBS,11804.000000
NCLH,20261460.000000
NCMI,321097.000000
NCTY,2422739.000000
NDAQ,148074.000000
NDLS,236852.000000
NDSN,64921.000000
NEO,301421.000000
NEOG,30203.000000
NEON,17672.000000
